Unnamed: 0,id,nome_do_alimento,categoria,calorias,proteinas,carboidratos,gorduras,gorduras_saturadas,fibras,colesterol,gorduras_trans,gorduras_monoinsaturadas,gorduras_polinsaturadas
0,1,86 prova licor,Beverages,250.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0
1,2,94 prova licor,Beverages,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,3,aba de file  cru(a),Cru(a),242,24.22,0,15.42,5.738,0,75,0,7.002,0.613
3,4,aba de file  frito(a),Frito(a),264.659,24.22,0,17.983,6.139,0,75,0,7.586,2.093
4,5,aba de file  grelhado(a)/brasa/churrasco,Grelhado(a)/brasa/churrasco,242,24.22,0,15.42,5.738,0,75,0,7.002,0.613
5,6,abacate,No category,120,2.23,7.82,10.06,1.96,5.6,0,0,5.51,1.68
6,7,abacate cru,No category,138.384474,1.6,0.2,13.2,1.93,7.5,0,0.0,9.29,1.36
7,8,abacate da california,Fruits,167.0,1.96,8.64,15.41,2.126,6.8,0.0,0.0,0,1816.0
8,9,abacates da florida,Fruits,120.0,2.23,7.82,10.06,1.96,5.6,0.0,0.0,0,1676.0
9,10,abacaxi,Fruits,50.0,0.54,13.12,0.12,0.009,1.4,0.0,0.0,0,40.0
10,11,abacaxi (tradicional),Fruits,45.0,0.55,11.82,0.13,0,0,0,0.0,0,0
11,12,abacaxi cru,Frutas e derivados,48.3222130434782,0.858695652173913,12.3346376811594,0.123333333333333,0,0.986666666666667,0,0.366666666666667,0,0
12,13,abacaxi descascado cru,No category,36.328912,0.5,7.9,0.0,0.0,0.9,0,0.0,0.0,0.0
13,14,abacaxi enlatado em calda,No category,86.04216,0.3,19.8,0.6,0.16,0.7,0,0.0,0.1,0.22
14,15,abacaxi enlatado em calda escorrido,No category,70.745776,0.0,17.5,0.0,0.0,1.2,0,0.0,0.0,0.0
15,16,abacaxi enlatado em calda somente calda,No category,88.43222,0.3,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,17,abacaxi enlatado em suco de abacaxi,No category,56.405416,0.5,12.0,0.6,0.16,0.8,0,0.0,0.1,0.22
17,18,abacaxi enlatado em suco de abacaxi somente suco,No category,44.694122,0.3,10.6,0.0,0.0,0.0,0,0.0,0.0,0.0
18,19,abacaxi enlatado em suco escorrido,No category,45.41114,0.0,10.9,0.0,0.0,1.1,0,0.0,0.0,0.0
19,20,abacaxi polpa congelada,Frutas e derivados,30.5917991943359,0.466666666666667,7.79866666666666,0.113333333333333,0,0.326666666666667,0,0.326666666666667,0,0
20,21,abadejo file congelado assado,Pescados e frutos do mar,111.615503451188,23.525,0,1.23766666666667,0.574333333333333,0,102.798666666667,1.64833333333333,0.345333333333333,0.145666666666667
21,22,abadejo file congelado cru,Pescados e frutos do mar,59.1130332485835,13.0833333333333,0,0.36,0.1,0,31.4066666666667,0.63,Tr,0.1
22,23,abadejo file congelado grelhado,Pescados e frutos do mar,129.643525902867,27.6104166666667,0,1.30233333333333,0.554666666666667,0,135.853,1.59,0.322666666666667,0.562333333333333
23,24,abadejo file congeladocozido,Pescados e frutos do mar,91.1035483955542,19.3458333333333,0,0.942,0.381,0,86.8603333333333,0.889333333333333,0.259333333333333,0.174
24,25,abalone (cozido),Fish,189.0,19.63,11.05,6.78,1.646,0.0,94.0,0,0,1676.0
25,26,abalone cozido no vapor ou escalfado,Fish,209.0,34.05,11.97,1.51,0.297,0.0,169.0,0,0,207.0
26,27,abalone cozido ns quanto ao metodo de cozimento,Fish,157.0,20.4,7.26,4.49,0.668,0.0,101.0,0,0,1600.0
27,28,abalone enfarinhado ou empanado frito,Fish,242.0,18.24,15.53,11.38,1.842,0.6,111.0,0,0,4288.0
28,29,abalone labio marrom selvagem cru,No category,84.130112,17.8,1.6,0.6,0.15,0.0,123,3.96,0.08,0.12
29,30,abalone labio preto aquicultura cru,No category,79.349992,16.2,1.6,0.8,0.16,0.0,136,3.26,0.1,0.19
30,31,abalone labio preto selvagem cru,No category,90.82228,19.4,1.6,0.6,0.14,0.0,152,2.25,0.09,0.14
31,32,abalone labio verde aquicultura cru,No category,82.45707,17.1,1.6,0.8,0.17,0.0,139,6.3,0.11,0.15
32,33,abalone labio verde selvagem cru,No category,86.759178,18.7,1.6,0.5,0.13,0.0,174,2.17,0.07,0.09
33,34,abara (bahia),No category,289,8.3,19.1,19.9,9.1,9.4,25,0,7.8,2.1
34,35,abbott assegure plus pronto para beber,Beverages,141.0,5.16,19.88,4.52,0.574,0.0,2.0,0,0,2655.0
35,36,abbott assegure-se de shake nutricional pronto para beber,Beverages,105.0,3.8,16.88,2.53,0.422,0.0,2.0,0.0,0,1266.0
36,37,abbott eas proteina de soja em po,Beverages,405.0,47.62,43.94,3.57,0.0,0.0,0.0,0.0,0,1956.0
37,38,abbott eas whey protein em po,Beverages,385.0,66.67,17.95,5.13,2.564,0.0,205.0,0.0,0,926.0
38,39,abiu,No category,62,0.8,14.9,0.7,0.3,1.7,0,0,0.1,0.1
39,40,abiu cru,Frutas e derivados,62.4240984085401,0.833333333333333,14.927,0.703333333333333,0.3,1.696,0,0.392,0.1,0.1
40,41,abobora,Vegetables,45.0,1.0,11.69,0.1,0.021,2.0,0.0,0.0,0,42.0
41,42,abobora assada e sementes de abobora (com casca),Nuts and Seeds,446.0,18.55,53.75,19.4,3.67,18.4,0.0,0,0,8844.0
42,43,abobora assada e sementes de abobora (salgada),Nuts and Seeds,574.0,29.84,14.71,49.05,8.544,6.5,0.0,0.042,0,19856.0
43,44,abobora assada e sementes de abobora (sem sal),Nuts and Seeds,574.0,29.84,14.71,49.05,8.544,6.5,0.0,0.042,0,19856.0
